formula,activity,syngony,length,length_unit,width,width_unit,depth,depth_unit,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_min_unit,c_max,c_max_unit,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,visual
MnO2,oxidase,,,,,,,,,0.03,mM,0.046,,text,ABTS,0.005,mM,1,mM,,,0.01,mcg/ml,3.8,25,10.1080/03067319.2019.1599875,03067319.2019.1599875,0,MnO <sub>2</sub> nanozyme induced the chromogenic reactions of ABTS and TMB to visual detection of Fe <sup>2+</sup> and Pb <sup>2+</sup> ions in water,International Journal of Environmental Analytical Chemistry,2019,0
MnO2,oxidase,,,,,,,,,0.027,mM,0.113,,text,TMB,0.005,mM,1,mM,,,0.01,mcg/ml,3.8,25,10.1080/03067319.2019.1599875,03067319.2019.1599875,0,MnO <sub>2</sub> nanozyme induced the chromogenic reactions of ABTS and TMB to visual detection of Fe <sup>2+</sup> and Pb <sup>2+</sup> ions in water,International Journal of Environmental Analytical Chemistry,2019,0
Fe2O3,peroxidase,,,,,,,,,0.115,M,2.89,10−2 μM · s-1,text,H2O2 + TMB,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.45,mM,0.961,10−2 μM · s-1,text,TMB + H2O2,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.214,mM,2.12,10−2 μM · s-1,text,TMB + H2O2,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.0571,mM,9.08,10−2 μM · s-1,text,TMB + H2O2,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.236,M,16.6,10−2 μM · s-1,text,H2O2 + TMB,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.581,mM,3.92,10−2 μM · s-1,text,TMB + H2O2,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe2O3,peroxidase,,,,,,,,,0.452,M,39.2,10−2 μM · s-1,text,H2O2 + TMB,,,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,0
Fe3O4,peroxidase,cubic,3.5,nm,3.5,nm,3.5,nm,dopamine,2.75,10−3 mM,1.42,10−8 M·s−1,text,H2O2 + TMB,0,mM,0.0001,mM,3.65,mM,20,μg mL-1,4.6,25,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,1
NiFe2O4,peroxidase,cubic,2.6,nm,2.6,nm,2.6,nm,dopamine,0.34,10−3 mM,3.96,10−8 M·s−1,text,H2O2 + TMB,0,mM,0.0001,mM,3.65,mM,20,μg mL-1,4.6,25,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,1
CuFe2O4,peroxidase,cubic,2.3,nm,2.3,nm,2.3,nm,dopamine,1.18,10−3 mM,8.23,10−8 M·s−1,text,H2O2 + TMB,0,mM,0.0001,mM,3.65,mM,20,μg mL-1,4.6,25,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,1
